ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
HART-RANSOM UNION ELEMENTARY,California,1225,0616650,41-Rural: Fringe
HARTFORD CENTRAL SCHOOL DISTRICT,New York,361,3613830,42-Rural: Distant
HARTFORD J1 SCHOOL DISTRICT,Wisconsin,1301,5506090,31-Town: Fringe
HARTFORD PUBLIC SCHOOLS,Michigan,1338,2617880,42-Rural: Distant
HARTFORD SCHOOL DISTRICT,Vermont,1414,5004590,33-Town: Remote
HARTFORD SCHOOL DISTRICT,Connecticut,16434,0901920,12-City: Mid-size
HARTFORD SUPERVISORY DISTRICT,Vermont,†,5099954,33-Town: Remote
HARTFORD UHS SCHOOL DISTRICT,Wisconsin,1324,5506120,31-Town: Fringe
HARTINGTON NEWCASTLE PUBLIC SCHOOLS,Nebraska,373,3171520,43-Rural: Remote
HARTLAND CONSOLIDATED SCHOOLS,Michigan,5002,2617910,22-Suburb: Mid-size
HARTLAND SCHOOL DISTRICT,Vermont,285,5004620,42-Rural: Distant
HARTLAND SCHOOL DISTRICT,Connecticut,123,0901950,41-Rural: Fringe
HARTLAND-LAKESIDE J3 SCHOOL DISTRICT,Wisconsin,1091,5506140,21-Suburb: Large
HARTLEY ISD,Texas,236,4822680,43-Rural: Remote
HARTLEY-MELVIN-SANBORN COMM SCHOOL DISTRICT,Iowa,645,1913660,43-Rural: Remote
HARTS BLUFF ISD,Texas,891,4822710,41-Rural: Fringe
HARTSBURG EMDEN CUSD 21,Illinois,175,1718390,42-Rural: Distant
HARTSELLE CITY,Alabama,3683,0101730,41-Rural: Fringe
HARTSHORNE,Oklahoma,708,4013920,42-Rural: Distant
HARTVILLE R-II,Missouri,640,2913770,43-Rural: Remote
HARVARD,Massachusetts,1023,2505880,41-Rural: Fringe
HARVARD AVENUE PERFORMANCE ACADEMY,Ohio,370,3900641,11-City: Large
HARVARD CUSD 50,Illinois,2532,1718420,32-Town: Distant
HARVARD PUBLIC SCHOOLS,Nebraska,194,3171550,42-Rural: Distant
HARVEST POWER COMMUNITY DEVELOPMENT GROUP INC. (79501),Arizona,1643,0400282,12-City: Mid-size
HARVEST RIDGE COOPERATIVE CHARTER DISTRICT,CALIFORNIA,349,0602216,21-Suburb: Large
HARVEY 38,North Dakota,381,3808890,43-Rural: Remote
HARVEY CO. SP. ED. COOP.,KANSAS,†,2000358,32-Town: Distant
HARVEY SD 152,Illinois,1487,1718450,21-Suburb: Large
HARWOOD UNIFIED UNION SCHOOL DISTRICT #60,VERMONT,1792,5000403,42-Rural: Distant
HARWOOD UNIFIED UNION SUPERVISORY DISTRICT,Vermont,†,5099942,42-Rural: Distant
HASBROUCK HEIGHTS SCHOOL DISTRICT,New Jersey,1669,3406930,21-Suburb: Large
HASKELL,Oklahoma,747,4013950,42-Rural: Distant
HASKELL CISD,Texas,544,4822740,43-Rural: Remote
HASLETT PUBLIC SCHOOLS,Michigan,2616,2617940,21-Suburb: Large
HASTINGS AREA SCHOOL DISTRICT,Michigan,2481,2617970,32-Town: Distant
HASTINGS PUBLIC SCHOOL DISTRICT,Minnesota,4041,2713530,31-Town: Fringe
HASTINGS PUBLIC SCHOOLS,Nebraska,3789,3171580,32-Town: Distant
HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,New York,1604,3613950,21-Suburb: Large
HATBORO-HORSHAM SD,Pennsylvania,4215,4211610,21-Suburb: Large
HATCH VALLEY,New Mexico,1146,3501230,43-Rural: Remote
HATFIELD,Massachusetts,310,2505940,23-Suburb: Small
HATIKVAH INTERNATIONAL ACADEMY CHARTER SCHOOL,New Jersey,658,3400735,21-Suburb: Large
HATTIESBURG,Mississippi,3918,2801800,13-City: Small
HATTON EIELSON 7,North Dakota,157,3809000,42-Rural: Distant
HAUPPAUGE UNION FREE SCHOOL DISTRICT,New York,3165,3613980,21-Suburb: Large
HAVANA CUSD 126,Illinois,819,1718510,42-Rural: Distant
HAVEN MONTESSORI CHILDREN'S HOUSE INC. (89951),Arizona,69,0400782,13-City: Small
HAVEN PUBLIC SCHOOLS,Kansas,758,2006960,42-Rural: Distant
HAVERFORD TOWNSHIP SD,Pennsylvania,6511,4211670,21-Suburb: Large
HAVERHILL,Massachusetts,7940,2505970,21-Suburb: Large
HAVERHILL COOPERATIVE SCHOOL DISTRICT,New Hampshire,626,3303660,43-Rural: Remote
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),New York,8396,3614010,21-Suburb: Large
HAVILAND,Kansas,106,2006990,43-Rural: Remote
HAVRE ELEM,Montana,1299,3013560,33-Town: Remote
HAVRE H S,Montana,521,3013590,33-Town: Remote
HAWAII DEPARTMENT OF EDUCATION,Hawaii,167071,1500030,21-Suburb: Large
HAWKING S.T.E.A.M. CHARTER DISTRICT,CALIFORNIA,1321,0602075,11-City: Large
HAWKINS COUNTY,Tennessee,6037,4701740,41-Rural: Fringe
HAWKINS ISD,Texas,811,4822770,42-Rural: Distant
HAWKS HOME ELEM,Montana,8,3013280,43-Rural: Remote
HAWLEMONT,Massachusetts,71,2506000,42-Rural: Distant
HAWLEY ISD,Texas,773,4822800,42-Rural: Distant
HAWLEY PUBLIC SCHOOL DISTRICT,Minnesota,1058,2713560,42-Rural: Distant
HAWORTH,Oklahoma,429,4014080,42-Rural: Distant
HAWORTH PUBLIC SCHOOL DISTRICT,New Jersey,507,3406960,21-Suburb: Large
HAWTHORN ACADEMY,Utah,1364,4900137,21-Suburb: Large
HAWTHORN CCSD 73,Illinois,3496,1718570,21-Suburb: Large
HAWTHORNE,California,6908,0616680,21-Suburb: Large
HAWTHORNE PUBLIC SCHOOL DISTRICT,New Jersey,2162,3406990,21-Suburb: Large
HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT,New York,127,3614070,21-Suburb: Large
HAXTUN SCHOOL DISTRICT NO. RE-2J,Colorado,297,0804560,43-Rural: Remote
HAY SPRINGS PUBLIC SCHOOLS,Nebraska,200,3171610,43-Rural: Remote
HAYDEN CANYON CHARTER SCHOOL INC.,IDAHO,576,1600184,41-Rural: Fringe
HAYDEN SCHOOL DISTRICT NO. RE 1,Colorado,444,0804590,43-Rural: Remote
HAYDEN-WINKELMAN UNIFIED DISTRICT (4212),Arizona,306,0403730,43-Rural: Remote
HAYES CENTER PUBLIC SCHOOLS,Nebraska,159,3109120,43-Rural: Remote
HAYFIELD PUBLIC SCHOOL DISTRICT,Minnesota,621,2713590,42-Rural: Distant
HAYS,Kansas,3527,2007020,33-Town: Remote
HAYS CISD,Texas,24330,4800010,41-Rural: Fringe
HAYS WEST CENTRAL KS SPECIAL ED. COOP.,KANSAS,†,2000367,33-Town: Remote
HAYS-LODGE POLE K-12 SCHLS,Montana,255,3013660,43-Rural: Remote
HAYSVILLE,Kansas,5465,2007050,21-Suburb: Large
HAYTI R-II,Missouri,608,2913800,42-Rural: Distant
HAYWARD COLLEGIATE CHARTER DISTRICT,CALIFORNIA,231,0602523,21-Suburb: Large
HAYWARD COMMUNITY SCHOOL DISTRICT,Wisconsin,1885,5506270,43-Rural: Remote
HAYWARD TWIN OAKS MONTESSORI DISTRICT,CALIFORNIA,643,0602238,21-Suburb: Large
HAYWARD UNIFIED,California,17377,0616740,21-Suburb: Large
HAYWOOD,Oklahoma,102,4014100,42-Rural: Distant
HAYWOOD COUNTY,Tennessee,2422,4701770,32-Town: Distant
HAYWOOD COUNTY SCHOOLS,North Carolina,6476,3702040,32-Town: Distant
HAZARD INDEPENDENT,Kentucky,1016,2102670,33-Town: Remote
HAZEL CREST SD 152-5,Illinois,891,1718600,21-Suburb: Large
HAZEL PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,2932,2618030,21-Suburb: Large
HAZELTON-MOFFIT-BRADDOCK 6,North Dakota,144,3809130,43-Rural: Remote
HAZELWOOD,Missouri,16321,2913830,21-Suburb: Large
HAZEN 3,North Dakota,585,3800031,43-Rural: Remote
HAZEN SCHOOL DISTRICT,Arkansas,544,0507530,42-Rural: Distant
HAZEN UNION HIGH SCHOOL DISTRICT #26,Vermont,265,5008243,43-Rural: Remote
HAZLEHURST CITY SCHOOL DISTRICT,Mississippi,1320,2801830,42-Rural: Distant
HAZLET TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,2691,3413680,21-Suburb: Large
HAZLETON AREA CAREER CENTER,Pennsylvania,1,4280570,23-Suburb: Small
HAZLETON AREA SD,Pennsylvania,13141,4211700,23-Suburb: Small
HEALDSBURG UNIFIED,California,1236,0600044,21-Suburb: Large
HEALDTON,Oklahoma,483,4014130,43-Rural: Remote
HEALTH SCIENCES CHARTER SCHOOL,New York,452,3601022,11-City: Large
HEALTH SCIENCES HIGH AND MIDDLE COLLEGE DISTRICT,CALIFORNIA,535,0602374,11-City: Large
HEALY PUBLIC SCHOOLS,Kansas,2,2007080,43-Rural: Remote
HEARD COUNTY,Georgia,2220,1302790,42-Rural: Distant
HEARNE ISD,Texas,718,4822830,42-Rural: Distant
HEART BUTTE K-12 SCHOOLS,Montana,119,3000099,43-Rural: Remote
HEART OF GEORGIA RESA,Georgia,†,1300017,33-Town: Remote
HEART OF IL LOW INCIDENCE HILIA,Illinois,†,1700262,13-City: Small
HEART OF OHIO CLASSICAL ACADEMY,OHIO,189,3910064,11-City: Large
HEART RIVER CAREER & TECHNOLOGY CENTER,NORTH DAKOTA,†,3880786,23-Suburb: Small
HEARTLAND AREA EDUCATION AGENCY,Iowa,†,1999011,21-Suburb: Large
HEARTLAND CAREER CENTER,Indiana,0,1811930,41-Rural: Fringe
HEARTLAND CHARTER DISTRICT,CALIFORNIA,5970,0601590,42-Rural: Distant
HEARTLAND COMMUNITY SCHOOLS,Nebraska,324,3100117,43-Rural: Remote
HEARTLAND LAKES COMMUNITY SCHOOL,MINNESOTA,83,2791460,43-Rural: Remote
HEARTLAND REGION,Illinois,†,1700285,13-City: Small
HEARTWOOD AZ (1002010),ARIZONA,204,0409741,11-City: Large
HEARTWOOD CHARTER DISTRICT,CALIFORNIA,739,0602512,41-Rural: Fringe
HEARTWOOD PUBLIC CHARTER SCHOOL,NEW HAMPSHIRE,89,3399972,43-Rural: Remote
HEATH CITY,Ohio,1560,3904411,23-Suburb: Small
HEAVENER,Oklahoma,842,4014160,42-Rural: Distant
HEBER ELEMENTARY,California,1155,0616830,41-Rural: Fringe
HEBER SPRINGS SCHOOL DISTRICT,Arkansas,1617,0507560,32-Town: Distant
HEBER-OVERGAARD UNIFIED DISTRICT (4392),Arizona,490,0400026,33-Town: Remote
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,New York,614,3601003,11-City: Large
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL 2,NEW YORK,335,3601166,11-City: Large
HEBRON 13,North Dakota,153,3809180,43-Rural: Remote
HEBRON SCHOOL DISTRICT,Connecticut,681,0902010,42-Rural: Distant
HECTOR SCHOOL DISTRICT,Arkansas,695,0507620,43-Rural: Remote
HEDLEY ISD,Texas,95,4822850,43-Rural: Remote
HEIR FORCE COMMUNITY SCHOOL,Ohio,204,3900341,13-City: Small
HELENA ELEM,Montana,5100,3000005,13-City: Small
HELENA FLATS ELEM,Montana,293,3013800,41-Rural: Fringe
HELENA H S,Montana,2373,3013830,13-City: Small
HELENA WEST HELENA SCHOOL DISTRICT,Arkansas,978,0507680,41-Rural: Fringe
HELENDALE ELEMENTARY,California,1085,0616860,31-Town: Fringe
HELIX HIGH DISTRICT,CALIFORNIA,2554,0602211,21-Suburb: Large
HELIX SD 1,Oregon,190,4106270,42-Rural: Distant
HELLENIC CLASSICAL CHARTER SCHOOL - STATEN ISLAND,NEW YORK,474,3601214,11-City: Large
HELLENIC CLASSICAL CHARTER SCHOOL PARK SLOPE,New York,493,3600146,11-City: Large
HELLGATE ELEM,Montana,1464,3013860,13-City: Small
HELMVILLE ELEM,Montana,13,3013890,43-Rural: Remote
HEMET UNIFIED,California,22891,0616920,22-Suburb: Mid-size
HEMINGFORD PUBLIC SCHOOLS,Nebraska,383,3171730,43-Rural: Remote
HEMLOCK PUBLIC SCHOOL DISTRICT,Michigan,1239,2618180,42-Rural: Distant
HEMPFIELD AREA SD,Pennsylvania,5062,4211760,21-Suburb: Large
HEMPFIELD SD,Pennsylvania,6918,4211790,21-Suburb: Large
HEMPHILL ISD,Texas,788,4822890,43-Rural: Remote
HEMPSTEAD ISD,Texas,1585,4822920,32-Town: Distant
HEMPSTEAD UNION FREE SCHOOL DISTRICT,New York,5677,3614130,21-Suburb: Large
HENDERSON COLLEGIATE,North Carolina,1334,3700319,32-Town: Distant
HENDERSON COUNTY,Kentucky,6707,2102710,31-Town: Fringe
HENDERSON COUNTY,Tennessee,3900,4701800,42-Rural: Distant
HENDERSON COUNTY SCHOOLS,North Carolina,12619,3702100,21-Suburb: Large
HENDERSON ISD,Texas,3245,4822970,32-Town: Distant
HENDERSON/KNOX/MERCER/WARREN ROE,Illinois,0,1700192,32-Town: Distant
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,New York,2225,3614190,21-Suburb: Large
HENDRICKS PUBLIC SCHOOL DISTRICT,Minnesota,244,2713680,43-Rural: Remote
HENDRY,Florida,13698,1200780,11-City: Large
HENNEPIN SCHOOLS,Minnesota,447,2700335,11-City: Large
HENNESSEY,Oklahoma,812,4014340,42-Rural: Distant
HENNIKER SCHOOL DISTRICT,New Hampshire,402,3303690,42-Rural: Distant
HENNING PUBLIC SCHOOL DISTRICT,Minnesota,381,2713860,43-Rural: Remote
HENRICO COUNTY PUBLIC SCHOOLS,Virginia,50915,5101890,21-Suburb: Large
HENRIETTA ISD,Texas,886,4822980,42-Rural: Distant
HENRY CO. R-I,Missouri,690,2932110,43-Rural: Remote
HENRY COUNTY,Georgia,43012,1302820,21-Suburb: Large
HENRY COUNTY,Tennessee,2924,4701830,42-Rural: Distant
HENRY COUNTY,Kentucky,1984,2102760,42-Rural: Distant
HENRY COUNTY,Alabama,2524,0101740,42-Rural: Distant
HENRY COUNTY PUBLIC SCHOOLS,Virginia,6916,5101920,41-Rural: Fringe
HENRY FORD ACADEMY,Michigan,476,2600171,12-City: Mid-size
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Texas,61,4801412,11-City: Large
HENRY HUDSON REGIONAL SCHOOL DISTRICT,NEW JERSEY,725,3480370,21-Suburb: Large
HENRY JOHNSON CHARTER SCHOOL,New York,346,3600946,12-City: Mid-size
HENRY SCHOOL DISTRICT 14-2,South Dakota,192,4632340,43-Rural: Remote
HENRY-SENACHWINE CUSD 5,Illinois,534,1700115,42-Rural: Distant
HENRY-STARK COUNTY SPEC ED DIST,Illinois,†,1700322,42-Rural: Distant
HENRYETTA,Oklahoma,1063,4014370,32-Town: Distant
HEREFORD ISD,Texas,3964,4823010,32-Town: Distant
HERINGTON,Kansas,425,2007110,43-Rural: Remote
HERITAGE ACADEMY,Texas,589,4800080,33-Town: Remote
HERITAGE ACADEMY GATEWAY INC. (92519),ARIZONA,1556,0400911,21-Suburb: Large
HERITAGE ACADEMY INC.,Idaho,176,1600159,31-Town: Fringe
HERITAGE ACADEMY INC. (4336),Arizona,902,0400053,11-City: Large
HERITAGE ACADEMY LAVEEN INC. (92520),ARIZONA,685,0400926,11-City: Large
HERITAGE ACADEMY MARICOPA INC. (1002080),ARIZONA,937,0409746,23-Suburb: Small
HERITAGE ACADEMY POINTE INC. (1002101),ARIZONA,110,0409747,11-City: Large
HERITAGE CLASSICAL ACADEMY,TEXAS,†,4899133,11-City: Large
HERITAGE COMMUNITY CHARTER SCHOOL INC.,Idaho,512,1600161,22-Suburb: Mid-size
HERITAGE CUSD 8,Illinois,391,1700106,42-Rural: Distant
HERITAGE ELEMENTARY SCHOOL (81076),Arizona,884,0400649,21-Suburb: Large
HERITAGE K-8 CHARTER DISTRICT,CALIFORNIA,1345,0601660,21-Suburb: Large
HERITAGE PEAK CHARTER DISTRICT,CALIFORNIA,1181,0602371,21-Suburb: Large
HERITAGE SOUTHWEST INTERMEDIATE SCHOOL DISTRICT,Michigan,304,2680220,42-Rural: Distant
HERKIMER CENTRAL SCHOOL DISTRICT,New York,1136,3614220,31-Town: Fringe
HERKIMER-FULTON-HAMILTON-OTSEGO BOCES,New York,0,3680420,41-Rural: Fringe
HERMAN-NEOSHO-RUBICON SCHOOL DISTRICT,WISCONSIN,314,5500075,42-Rural: Distant
HERMAN-NORCROSS COMMUNITY SCHOOL,Minnesota,92,2713890,43-Rural: Remote
HERMANTOWN COMMUNITY SCHOOLS,Minnesota,2118,2713920,41-Rural: Fringe
HERMISTON SD 8,Oregon,5321,4106300,32-Town: Distant
HERMITAGE R-IV,Missouri,289,2914310,43-Rural: Remote
HERMITAGE SCHOOL DISTRICT,Arkansas,425,0507710,43-Rural: Remote
HERMITAGE SD,Pennsylvania,1993,4211820,31-Town: Fringe
HERMLEIGH ISD,Texas,258,4823040,42-Rural: Distant
HERMON PUBLIC SCHOOLS,Maine,1345,2306510,41-Rural: Fringe
HERMON-DEKALB CENTRAL SCHOOL DISTRICT,New York,381,3614250,42-Rural: Distant
HERMOSA BEACH CITY ELEMENTARY,California,1415,0617040,21-Suburb: Large
HERMOSA MONTESSORI CHARTER SCHOOL (4426),Arizona,230,0400115,41-Rural: Fringe
HERNANDO,Florida,23734,1200810,22-Suburb: Mid-size
HERON LAKE-OKABENA SCHOOL DISTRICT,Minnesota,260,2713930,43-Rural: Remote
HERREID SCHOOL DISTRICT 10-1,South Dakota,147,4632430,43-Rural: Remote
HERRICKS UNION FREE SCHOOL DISTRICT,New York,4276,3614280,21-Suburb: Large
HERRIN CUSD 4,Illinois,2320,1718810,33-Town: Remote
HERRON CHARTER,Indiana,981,1800058,11-City: Large
HERRON PREPARATORY ACADEMY,INDIANA,428,1800231,11-City: Large
HERRON-RIVERSIDE HIGH SCHOOL,INDIANA,388,1800187,11-City: Large
HERSCHER CUSD 2,Illinois,1686,1718840,42-Rural: Distant
HERSHEY PUBLIC SCHOOLS,Nebraska,539,3171820,42-Rural: Distant
HERTFORD COUNTY SCHOOLS,North Carolina,2367,3702160,33-Town: Remote
HESPERIA COMMUNITY SCHOOLS,Michigan,799,2618270,42-Rural: Distant
HESPERIA UNIFIED,California,23209,0600014,21-Suburb: Large
HESSTON,Kansas,853,2007170,42-Rural: Distant
HETTINGER 13,North Dakota,294,3809410,43-Rural: Remote
HEUVELTON CENTRAL SCHOOL DISTRICT,New York,533,3614310,42-Rural: Distant
HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,New York,2767,3631710,21-Suburb: Large
HEYWORTH CUSD 4,Illinois,873,1718870,42-Rural: Distant
HI NELLA,New Jersey,†,3407080,21-Suburb: Large
HI-PLAINS R-23,Colorado,96,0806510,43-Rural: Remote
HIAWATHA,Kansas,890,2000006,43-Rural: Remote
HIAWATHA ACADEMIES,Minnesota,1586,2700288,11-City: Large
HIAWATHA CUSD 426,Illinois,427,1721300,42-Rural: Distant
HIAWATHA VALLEY EDUCATION DISTRICT,Minnesota,122,2700055,32-Town: Distant
HIBBING PUBLIC SCHOOL DISTRICT,Minnesota,2232,2713980,33-Town: Remote
HICKMAN COMMUNITY CHARTER,California,1096,0617160,31-Town: Fringe
HICKMAN COUNTY,Kentucky,759,2102790,43-Rural: Remote
HICKMAN COUNTY,Tennessee,3001,4701860,43-Rural: Remote
HICKMAN MILLS C-1,Missouri,5067,2914340,11-City: Large
HICKORY CITY SCHOOLS,North Carolina,3735,3702190,13-City: Small
HICKORY CO. R-I,Missouri,705,2914320,43-Rural: Remote
HICKSVILLE EXEMPTED VILLAGE SCHOOL DISTRICT,Ohio,868,3904541,42-Rural: Distant
HICKSVILLE UNION FREE SCHOOL DISTRICT,New York,5356,3614340,21-Suburb: Large
HICO ISD,Texas,627,4823070,43-Rural: Remote
HIDALGO ISD,Texas,2918,4823100,21-Suburb: Large
HIGBEE R-VIII,Missouri,228,2914370,42-Rural: Distant
HIGH BRIDGE BOROUGH SCHOOL DISTRICT,New Jersey,350,3407110,31-Town: Fringe
HIGH DESERT ESD,Oregon,0,4180070,32-Town: Distant
HIGH ISLAND ISD,Texas,132,4823160,43-Rural: Remote
HIGH MOUNT SD 116,Illinois,325,1718960,21-Suburb: Large
HIGH PLAINS COMMUNITY SCHOOLS,Nebraska,207,3100123,43-Rural: Remote
HIGH PLAINS EDUCATIONAL COOPERATIVE,Kansas,†,2000044,33-Town: Remote
HIGH PLAINS TECH  CTR.,Oklahoma,†,4000096,41-Rural: Fringe
HIGH POINT R-III,Missouri,83,2921150,42-Rural: Distant
HIGH POINT REGIONAL HIGH SCHOOL DISTRICT,New Jersey,815,3407140,42-Rural: Distant
HIGH SCHOOL FOR RECORDING ARTS,Minnesota,181,2700160,11-City: Large
HIGH TECH ELEMENTARY CHULA VISTA DISTRICT,CALIFORNIA,445,0602097,41-Rural: Fringe
HIGH TECH ELEMENTARY DISTRICT,CALIFORNIA,444,0602429,11-City: Large
HIGH TECH ELEMENTARY EXPLORER DISTRICT,CALIFORNIA,386,0601768,11-City: Large
HIGH TECH ELEMENTARY MESA DISTRICT,CALIFORNIA,423,0602049,11-City: Large
HIGH TECH ELEMENTARY NORTH COUNTY DISTRICT,CALIFORNIA,438,0602431,21-Suburb: Large
HIGH TECH HIGH CHULA VISTA DISTRICT,CALIFORNIA,626,0602061,41-Rural: Fringe
HIGH TECH HIGH DISTRICT,CALIFORNIA,412,0601753,11-City: Large
HIGH TECH HIGH INTERNATIONAL DISTRICT,CALIFORNIA,359,0601891,11-City: Large
HIGH TECH HIGH MEDIA ARTS DISTRICT,CALIFORNIA,355,0601515,11-City: Large
HIGH TECH HIGH MESA DISTRICT,CALIFORNIA,435,0602341,11-City: Large
HIGH TECH HIGH NORTH COUNTY DISTRICT,CALIFORNIA,409,0601818,21-Suburb: Large
HIGH TECH LA DISTRICT,CALIFORNIA,362,0601684,11-City: Large
HIGH TECH LA MIDDLE DISTRICT,CALIFORNIA,250,0601787,11-City: Large
HIGH TECH MIDDLE CHULA VISTA DISTRICT,CALIFORNIA,335,0601800,41-Rural: Fringe
HIGH TECH MIDDLE DISTRICT,CALIFORNIA,324,0601808,11-City: Large
HIGH TECH MIDDLE MEDIA ARTS DISTRICT,CALIFORNIA,331,0601878,11-City: Large
HIGH TECH MIDDLE MESA DISTRICT,CALIFORNIA,352,0602232,11-City: Large
HIGH TECH MIDDLE NORTH COUNTY DISTRICT,CALIFORNIA,341,0601622,21-Suburb: Large
HIGHER GROUND ACADEMY,Minnesota,1163,2700140,11-City: Large
HIGHER INSTITUTE OF ARTS & TECH,INDIANA,259,1800178,21-Suburb: Large
HIGHER LEARNING ACADEMY DISTRICT,CALIFORNIA,519,0601824,11-City: Large
HIGHLAND  COMM SCHOOL DISTRICT,Iowa,510,1914010,42-Rural: Distant
HIGHLAND ACADEMY DISTRICT,CALIFORNIA,331,0602073,21-Suburb: Large
HIGHLAND CENTRAL SCHOOL DISTRICT,New York,1563,3614400,21-Suburb: Large
HIGHLAND COUNTY PUBLIC SCHOOLS,Virginia,208,5101950,43-Rural: Remote
HIGHLAND CUSD 5,Illinois,2730,1718990,41-Rural: Fringe
HIGHLAND FALLS CENTRAL SCHOOL DISTRICT,New York,1007,3614430,31-Town: Fringe
HIGHLAND FREE SCHOOL (79061),Arizona,31,0400275,11-City: Large
HIGHLAND ISD,Texas,207,4823190,42-Rural: Distant
HIGHLAND JOINT DISTRICT,Idaho,168,1601440,42-Rural: Distant
HIGHLAND LOCAL,Ohio,3337,3904849,41-Rural: Fringe
HIGHLAND LOCAL,Ohio,1693,3904880,42-Rural: Distant
HIGHLAND PARK BORO SCHOOL DISTRICT,New Jersey,1602,3407170,21-Suburb: Large
HIGHLAND PARK CITY SCHOOLS,Michigan,†,2618330,21-Suburb: Large
HIGHLAND PARK ISD,Texas,749,4835560,41-Rural: Fringe
HIGHLAND PARK ISD,Texas,6350,4823250,21-Suburb: Large
HIGHLAND PARK PUBLIC SCHOOL ACADEMY SYSTEM,Michigan,362,2601014,21-Suburb: Large
HIGHLAND PLT PUBLIC SCHOOLS,Maine,0,2306600,43-Rural: Remote
HIGHLAND PREP (92982),ARIZONA,505,0400966,21-Suburb: Large
HIGHLAND SCHOOL DISTRICT,Arkansas,1499,0507770,43-Rural: Remote
HIGHLAND SCHOOL DISTRICT,Wisconsin,276,5506420,43-Rural: Remote
HIGHLAND SCHOOL DISTRICT,Washington,1060,5303510,41-Rural: Fringe
HIGHLANDER,Rhode Island,617,4400031,41-Rural: Fringe
HIGHLANDS,Florida,12040,1200840,23-Suburb: Small
HIGHLANDS COMMUNITY CHARTER DISTRICT,CALIFORNIA,11713,0602442,11-City: Large
HIGHLANDS SD,Pennsylvania,2047,4211880,21-Suburb: Large
HIGHLINE SCHOOL DISTRICT,Washington,18072,5303540,21-Suburb: Large
HIGHMARK CHARTER SCHOOL,Utah,668,4900156,21-Suburb: Large
HIGHMORE-HARROLD SCHOOL DISTRICT 34-2,South Dakota,229,4680440,43-Rural: Remote
HIGHPOINT VIRTUAL ACADEMY OF MICHIGAN,MICHIGAN,3455,2601107,42-Rural: Distant
HIGHVILLE CHARTER SCHOOL DISTRICT,Connecticut,499,0900207,12-City: Mid-size
HIGHWOOD K-12,Montana,106,3014070,42-Rural: Distant
HIGLEY UNIFIED SCHOOL DISTRICT (4248),Arizona,12387,0403780,11-City: Large
HILBERT SCHOOL DISTRICT,Wisconsin,481,5506450,42-Rural: Distant
HILL,Montana,†,3000038,33-Town: Remote
HILL CITY PUBLIC SCHOOL DISTRICT,Minnesota,267,2714010,43-Rural: Remote
HILL CITY SCHOOL DISTRICT 51-2,South Dakota,520,4633360,42-Rural: Distant
HILL SCHOOL DISTRICT,New Hampshire,63,3303720,42-Rural: Distant
HILL VIEW MONTESSORI CHARTER PUBLIC,Massachusetts,306,2500083,21-Suburb: Large
HILLCREST SCHOOL DISTRICT,Arkansas,442,0500071,43-Rural: Remote
HILLDALE,Oklahoma,2008,4014520,32-Town: Distant
HILLIARD CITY,Ohio,16298,3904701,21-Suburb: Large
HILLMAN COMMUNITY SCHOOLS,Michigan,432,2618360,43-Rural: Remote
HILLS-BEAVER CREEK SCHOOL DISTRICT,Minnesota,343,2714040,42-Rural: Distant
HILLSBORO 9,North Dakota,494,3809570,43-Rural: Remote
HILLSBORO CITY,Ohio,2218,3904412,32-Town: Distant
HILLSBORO CUSD 3,Illinois,1518,1719200,32-Town: Distant
HILLSBORO ISD,Texas,1984,4823280,41-Rural: Fringe
HILLSBORO R-III,Missouri,3117,2914430,41-Rural: Fringe
HILLSBORO SCHOOL DISTRICT,Wisconsin,472,5506480,43-Rural: Remote
HILLSBORO SD 1J,Oregon,18781,4100023,12-City: Mid-size
HILLSBORO-DEERING COOPERATIVE SCHOOL DISTRICT,New Hampshire,982,3303750,42-Rural: Distant
HILLSBOROUGH,Florida,220360,1200870,21-Suburb: Large
HILLSBOROUGH CITY ELEMENTARY,California,1241,0617190,21-Suburb: Large
HILLSBOROUGH TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,7246,3407230,21-Suburb: Large
HILLSDALE COMMUNITY SCHOOLS,Michigan,1263,2618390,32-Town: Distant
HILLSDALE ISD,Michigan,332,2680480,32-Town: Distant
HILLSDALE LOCAL,Ohio,907,3904582,42-Rural: Distant
HILLSDALE PREPARATORY SCHOOL,Michigan,60,2600143,32-Town: Distant
HILLSDALE SCHOOL DISTRICT,New Jersey,1143,3407260,21-Suburb: Large
HILLSIDE ELEMENTARY DISTRICT (4482),Arizona,6,0408460,42-Rural: Distant
