ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
AKRON CENTRAL SCHOOL DISTRICT,New York,1258,3602430,41-Rural: Fringe
AKRON CITY,Ohio,19986,3904348,12-City: Mid-size
AKRON PREPARATORY SCHOOL,Ohio,359,3901503,12-City: Mid-size
AKRON SCHOOL DISTRICT NO. R-1,Colorado,411,0802040,43-Rural: Remote
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,576,1903220,42-Rural: Distant
AKRON-FAIRGROVE SCHOOLS,Michigan,364,2602010,42-Rural: Distant
AKROS MIDDLE SCHOOL,Ohio,127,3901428,12-City: Mid-size
AKROTECH HIGH SCHOOL,OHIO,67,3910050,12-City: Mid-size
AL INST DEAF AND BLIND,Alabama,–,0100009,32-Town: Distant
AL SCH OF MATH AND SCIENCE,Alabama,–,0100010,12-City: Mid-size
ALA CHARLOTTE,North Carolina,277,3700350,11-City: Large
ALA MONROE,NORTH CAROLINA,237,3705084,21-Suburb: Large
ALABAMA AEROSPACE AND AVIATION,ALABAMA,161,0100213,21-Suburb: Large
ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,ALABAMA,–,0100212,12-City: Mid-size
ALABAMA SCHOOL OF FINE ARTS,Alabama,–,0100018,12-City: Mid-size
ALABAMA YOUTH SERVICES,Alabama,–,0100002,41-Rural: Fringe
ALABASTER CITY,Alabama,6316,0100190,21-Suburb: Large
ALACHUA,Florida,28204,1200030,22-Suburb: Mid-size
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,1159,0602092,11-City: Large
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,736,3700467,22-Suburb: Mid-size
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,22661,3700030,22-Suburb: Mid-size
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,0601355,21-Suburb: Large
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,362,0601664,21-Suburb: Large
ALAMEDA COUNTY OFFICE OF EDUCATION,California,304,0691051,21-Suburb: Large
ALAMEDA UNIFIED,California,9292,0601770,21-Suburb: Large
ALAMO,Tennessee,600,4700030,42-Rural: Distant
ALAMO HEIGHTS ISD,Texas,4749,4807590,21-Suburb: Large
ALAMOGORDO,New Mexico,5251,3500030,33-Town: Remote
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,2038,0802070,33-Town: Remote
ALANSON PUBLIC SCHOOLS,Michigan,227,2621810,42-Rural: Distant
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,381,0200050,43-Rural: Remote
ALBA PUBLIC SCHOOLS,Michigan,96,2602040,43-Rural: Remote
ALBA-GOLDEN ISD,Texas,818,4807650,42-Rural: Distant
ALBANY CITY SCHOOL DISTRICT,New York,8761,3602460,12-City: Mid-size
ALBANY CITY UNIFIED,California,3694,0601860,21-Suburb: Large
